area,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
Small states,59721008191,64141843859,64574633106,67335885496,78719201942,91938106002,1.05E+11,1.15E+11,1.31E+11,1.53E+11,1.31E+11
Sao Tome and Principe,,76709304.53,76460376.96,90713303.06,97994011.64,106764253.7,113808749.4,124184906.7,144259256.6,183464986.3,196473838.9
Suriname,885444167.4,892164363.6,763465570.6,1078402128,1271196078,1484092538,1793557833,2626093294,2936612022,3532969035,3875409836
Slovak Republic,29947934157,28724041828,30318731991,34638306042,45837416479,56073225726,61328471583,69002095095,84108560088,97908891167,87239747152
Slovenia,22309684226,19979467790,20498926981,23136352386,29152072068,33837749815,35717733757,38945146500,47306799054,54606018255,49056152691
Sweden,2.59E+11,2.47E+11,2.27E+11,2.51E+11,3.15E+11,3.62E+11,3.71E+11,3.99E+11,4.63E+11,4.86E+11,4.06E+11
Swaziland,1547888454,1524490159,1349326983,1224220675,1854020496,2420610579,2584077931,2947922183,3053823329,3019770680,3161320520
Sint Maarten (Dutch part),,,,,,,,,,,
Seychelles,622975776.4,614877971.2,618433501,698083345,703096502.6,839319935.2,919103262,1016419769,1033635773,967211974.9,847424851.5
Syrian Arab Republic,15873875969,19325894913,21099833784,21582248882,21828144686,25086930693,28858965517,33332844575,40405006007,52581913978,53934534351
Turks and Caicos Islands,,,,,,,,,,,
Chad,1534673504,1385058212,1709347777,1987622269,2736666451,4414929142,6646663021,7422102520,8638711757,10351933632,9253484290
Togo,1576094485,1294250280,1332328986,1474630199,1673690390,1937074538,2115154090,2202809211,2523462649,3159544509,3163000591
Thailand,1.23E+11,1.23E+11,1.16E+11,1.27E+11,1.43E+11,1.61E+11,1.76E+11,2.07E+11,2.47E+11,2.73E+11,2.64E+11
Tajikistan,1086567368,860550294.3,1080774006,1221113795,1554125543,2076148710,2312319579,2830236054,3719497371,5161336170,4979481980
Turkmenistan,2450686660,2904662605,3534771969,4462028989,5977440583,6838351088,8104355717,10277598152,12664165103,19271445267,20214456140
Timor-Leste,,350100000,429700000,426700000,436500000,455500000,479100000,462600000,558700000,693800000,826700000
Tonga,194669501.6,188623258.5,167042880.1,181801947,208098551.9,240794581.2,264812953.8,295998379.1,301064027.1,346850175.9,318522296.1
Trinidad and Tobago,6808976089,8154315708,8824873156,9008273516,11235960523,12884712296,16088526686,18460905284,21735387008,28017710148,19251916758
Tunisia,22943685719,21473261837,22066031834,23141616605,27453084983,31183059012,32282960678,34377235162,38848711944,44736953169,43607568688
Turkey,2.50E+11,2.67E+11,1.96E+11,2.33E+11,3.03E+11,3.92E+11,4.83E+11,5.31E+11,6.47E+11,7.30E+11,6.15E+11
Tuvalu,13686699.57,13741846.52,13196230.21,15451294.04,18230893.03,21535706.64,21839580.57,22903319.5,27030996.03,30290770.26,27101312.79
Tanzania,9697847589,10185786171,10383560998,10805600069,11659129815,12825801917,14141916592,14331231239,16825547176,20715086119,21368165400
Uganda,5998563258,6193246632,5840503703,6178563467,6336696289,7940362663,9013834490,9977209199,11916019463,14440417641,15803514643
Ukraine,31580639053,31261527363,38009344577,42392896031,50132953288,64883060726,86142018069,1.08E+11,1.43E+11,1.80E+11,1.17E+11
Upper middle income,3.91E+12,4.27E+12,4.27E+12,4.27E+12,4.76E+12,5.62E+12,6.69E+12,7.87E+12,9.69E+12,1.18E+13,1.17E+13
Uruguay,23983945191,22823255806,20898788420,13606494599,12045627411,13686333822,17362872710,19579479147,23410536955,30366148248,30229404321
United States,9.67E+12,1.03E+13,1.06E+13,1.10E+13,1.15E+13,1.23E+13,1.31E+13,1.39E+13,1.45E+13,1.47E+13,1.44E+13
Uzbekistan,17078465982,13760374488,11401351420,9687951055,10128112401,12030023548,14307509839,17030896203,22311393928,27934030937,32816828373
St. Vincent and the Grenadines,331866660.8,397447006.7,431017935,462641609.6,482397041.1,522544701.9,551431645.4,611040126.2,684691914.8,699004420.7,672342406.3
"Venezuela, RB",97974136437,1.17E+11,1.23E+11,92889586976,83622191419,1.12E+11,1.46E+11,1.83E+11,2.30E+11,3.16E+11,3.29E+11
Virgin Islands (U.S.),,,,,,,,,,,
Vietnam,28683658005,33640085728,35291349277,37947904054,42717072778,49424107710,57633255739,66371664817,77414425532,99130304099,1.06E+11
Vanuatu,267999225.3,272014693.1,257926881.7,262603781.8,314463144,364996869.1,394962552.3,437072933.9,526425740.4,607983815.3,610075806.7
West Bank and Gaza,4168899307,4113261233,3332382199,2832538290,3144395543,3606871948,4015865744,,,,
World,3.18E+13,3.29E+13,3.27E+13,3.39E+13,3.81E+13,4.28E+13,4.63E+13,5.02E+13,5.65E+13,6.20E+13,5.87E+13
Samoa,230621434.5,239698992.4,243324190.3,256677700.1,301905953,374507187.9,412220560.3,453082900.1,490916834.7,573946224.5,500992499.2
"Yemen, Rep.",7641101221,9636342275,9854042165,10693278292,11777768087,13873500888,16753787028,18941303850,21596088517,26869018825,24581907774
South Africa,1.33E+11,1.33E+11,1.18E+11,1.11E+11,1.68E+11,2.19E+11,2.47E+11,2.61E+11,2.86E+11,2.73E+11,2.84E+11
"Congo, Dem. Rep.",4711259427,4305296502,4691816667,5544467552,5670128142,6511032844,7191141825,8823784633,10013852849,11675330310,11204008249
Zambia,3131340054,3253551750,3653822712,3711284087,4341841414,5439176376,7178556337,10702200822,11541420981,14640792100,12805029522
Zimbabwe,6858013063,6689957610,6777384733,6342116354,5727591778,5805598443,5755215232,5443896500,5291950101,4415702801,6133240672
