area,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
Caribbean small states,29613300890,32260464990,33117733166,34929021600,37401879066,40740375081,46555084823,52432657467,58340155248,66571021789,55998821214
Cuba,28365300000,30565200000,31683300000,33590400000,35901500000,38202800000,42644200000,52742100000,58603500000,60806200000,62078610000
Curacao,,,,,,,,,,,
Cayman Islands,,,,,,,,,,,
Cyprus,9776223013,9314937556,9679304971,10557366162,13319544758,15816972051,16997801392,18435765910,21841815681,25321517504,23542650736
Czech Republic,62165739783,58807244368,64375288107,78425201661,95292530753,1.14E+11,1.30E+11,1.48E+11,1.81E+11,2.25E+11,1.97E+11
Germany,2.13E+12,1.89E+12,1.88E+12,2.01E+12,2.42E+12,2.73E+12,2.77E+12,2.90E+12,3.32E+12,3.62E+12,3.30E+12
Djibouti,536080169.1,551230861.9,572417440.8,591122039.6,622044665.5,666072101.8,708633194.7,768873684,847918929.1,,
Dominica,267740736,324463833.2,330949849.7,326998081.3,340803912.9,366976849.4,361615917.8,382299140.4,418759930,462166696.3,481257770.4
Denmark,1.74E+11,1.60E+11,1.60E+11,1.74E+11,2.13E+11,2.45E+11,2.58E+11,2.74E+11,3.11E+11,3.44E+11,3.11E+11
Dominican Republic,21709041189,23996656676,24894907435,26570402719,21268012747,22163928097,33969724872,35965041793,41320700933,45796188394,46768400363
Algeria,48640613515,54790058957,54744716706,56760288962,67863832648,85324997370,1.03E+11,1.17E+11,1.35E+11,1.71E+11,1.37E+11
East Asia & Pacific (developing only),1.56E+12,1.72E+12,1.83E+12,2.03E+12,2.29E+12,2.66E+12,3.07E+12,3.69E+12,4.66E+12,5.90E+12,6.36E+12
East Asia & Pacific (all income levels),7.47E+12,8.08E+12,7.51E+12,7.63E+12,8.39E+12,9.40E+12,1.00E+13,1.06E+13,1.19E+13,1.37E+13,1.41E+13
Europe & Central Asia (developing only),4.72E+11,4.77E+11,4.34E+11,5.07E+11,6.45E+11,8.22E+11,1.01E+12,1.16E+12,1.47E+12,1.75E+12,1.46E+12
Europe & Central Asia (all income levels),1.02E+13,9.61E+12,9.71E+12,1.06E+13,1.30E+13,1.51E+13,1.61E+13,1.74E+13,2.04E+13,2.24E+13,1.97E+13
Ecuador,19017141057,18327386416,24468324000,28548945000,32432859000,36591661000,41507085000,46802044000,51007777000,61762635000,62519686000
"Egypt, Arab Rep.",90710703939,99838540997,97632008051,87850680573,82923680622,78845185709,89685724889,1.07E+11,1.30E+11,1.63E+11,1.89E+11
Euro area,6.87E+12,6.26E+12,6.35E+12,6.91E+12,8.53E+12,9.77E+12,1.01E+13,1.08E+13,1.24E+13,1.35E+13,1.24E+13
Eritrea,688921325.7,706370812.3,752368494.5,729321364.1,870247701.7,1109054002,1098425900,1211161880,1317974493,1380188800,1856695550
Spain,6.18E+11,5.80E+11,6.09E+11,6.86E+11,8.84E+11,1.04E+12,1.13E+12,1.24E+12,1.44E+12,1.59E+12,1.45E+12
Estonia,5709010492,5675174662,6237914200,7318186727,9840743037,12025943710,13905561150,16798495348,21993658964,23781539699,19406626721
Ethiopia,7827068145,8098332674,8087434752,7713652568,8473013233,9954110936,12184372697,15013683854,18991907676,25608626476,28194270371
European Union,9.19E+12,8.52E+12,8.63E+12,9.41E+12,1.15E+13,1.32E+13,1.39E+13,1.48E+13,1.71E+13,1.84E+13,1.64E+13
Finland,1.30E+11,1.22E+11,1.25E+11,1.35E+11,1.64E+11,1.89E+11,1.96E+11,2.08E+11,2.46E+11,2.72E+11,2.39E+11
Fiji,1942170999,1684109743,1660102346,1842691481,2315935753,2727507213,3006725015,3103099942,3405050612,3629936625,2925499821
France,1.46E+12,1.33E+12,1.34E+12,1.45E+12,1.79E+12,2.06E+12,2.14E+12,2.26E+12,2.58E+12,2.83E+12,2.62E+12
Faeroe Islands,1125684470,1062339944,1154899793,1268445919,1486861879,1683997930,1730894295,1970135199,2278229880,2412859693,2198138372
"Micronesia, Fed. Sts.",220660503.9,233226322.8,240051900,241543395.8,244990983.6,239563310.4,249845592.6,252991205,255890836.4,261339642.4,277510922.8
Gabon,4662991794,5067865503,4712849280,4931503836,6054883172,7178135606,8665736618,9545982814,11570860872,15685389827,12031268402
United Kingdom,1.52E+12,1.49E+12,1.49E+12,1.62E+12,1.88E+12,2.22E+12,2.32E+12,2.48E+12,2.86E+12,2.69E+12,2.21E+12
Georgia,2800024342,3057453461,3219487823,3395778661,3991374540,5125273877,6411147323,7761900179,10172260738,12799337250,10766836277
Ghana,7718110781,4982849054,5314871684,6166197192,7632720680,8881419348,10731883141,20410239313,24757608488,28528016511,25978563316
Guinea,3461282190,2995360969,2833442750,2949637039,3446442219,3666349049,2937072009,2821346684,4134173271,4515824643,4609923720
"Gambia, The",814724059.8,782913866.1,687410628.6,578235309.8,487038678.2,578785600.6,624173996.3,655068112.3,798869805.1,965771303,900629373
Guinea-Bissau,224446652.1,361858968.1,384270399.6,406669723.4,465414408,522651787.7,572853553.5,578517348.9,690721769.2,842890956.1,832530156.8
Equatorial Guinea,872016821.4,1242848857,1736116149,2146760314,2952359370,5240842261,8217368425,7765111494,10304490483,15471010923,10356293894
Greece,1.33E+11,1.24E+11,1.30E+11,1.46E+11,1.93E+11,2.28E+11,2.40E+11,2.62E+11,3.05E+11,3.42E+11,3.21E+11
Grenada,379629397.7,523256354.9,523279846.4,544381961.6,596339088.7,600014340.6,700431791.3,704762535.9,763824454.9,832339701.3,775507460.7
Greenland,1131555107,1068024994,1086170639,1169136691,1426452030,1644951892,1702543477,1738432116,2121759848,1739579594,1267711816
Guatemala,18317089473,19290566570,18702820735,20776536920,21917565500,23965280312,27211230374,30231130543,34113106486,39136286496,37733791089
Guam,,,,,,,,,,,
Guyana,694754984,712667925.1,696281468.8,722460911.6,741929343,785918769.7,824880550.3,1458449058,1740335069,1922597807,2025565089
High income,2.66E+13,2.72E+13,2.70E+13,2.81E+13,3.16E+13,3.52E+13,3.74E+13,3.96E+13,4.35E+13,4.65E+13,4.33E+13
"Hong Kong SAR, China",1.66E+11,1.72E+11,1.69E+11,1.66E+11,1.61E+11,1.69E+11,1.82E+11,1.94E+11,2.12E+11,2.19E+11,2.14E+11
Honduras,5372543554,7105541205,7566501476,7776438041,8140284929,8772167983,9672095584,10841723354,12275493959,13789727210,14486137414
Heavily indebted poor countries (HIPC),1.42E+11,1.38E+11,1.43E+11,1.54E+11,1.75E+11,2.02E+11,2.30E+11,2.75E+11,3.27E+11,3.93E+11,3.90E+11
Croatia,23077661294,21517784659,23052044813,26524896398,34143409062,41003558916,44821408831,49855078905,59335976948,69595272329,62244202547
Haiti,4088703120,3664503846,3507981946,3214632479,2826481072,3660483886,4154289832,4879738636,5971284338,6407707284,6470254240
Hungary,48255011860,46385589534,52720966883,66389489264,83538373061,1.02E+11,1.10E+11,1.13E+11,1.36E+11,1.54E+11,1.27E+11
Indonesia,1.40E+11,1.65E+11,1.60E+11,1.96E+11,2.35E+11,2.57E+11,2.86E+11,3.65E+11,4.32E+11,5.10E+11,5.40E+11
Isle of Man,1567465657,1563667800,1614595291,1897606791,2264911807,2758117365,2915710378,3437450712,4075664785,,
India,4.67E+11,4.77E+11,4.94E+11,5.24E+11,6.18E+11,7.22E+11,8.34E+11,9.49E+11,1.24E+12,1.22E+12,1.37E+12
Not classified,,,,,,,,,,,
Ireland,96584799614,97331522052,1.05E+11,1.23E+11,1.59E+11,1.86E+11,2.03E+11,2.23E+11,2.60E+11,2.64E+11,2.25E+11
"Iran, Islamic Rep.",1.05E+11,1.01E+11,1.15E+11,1.16E+11,1.35E+11,1.63E+11,1.92E+11,2.23E+11,2.86E+11,3.56E+11,3.63E+11
Iraq,17942362576,25857106736,18936094868,18969591211,,25509364916,36743640204,65141035028,88837727881,1.32E+11,1.12E+11
Iceland,8742600398,8697298234,7922983043,8907207933,10969898924,13251434311,16286323127,16651492784,20428232684,16832079677,12115478892
Israel,1.11E+11,1.25E+11,1.23E+11,1.13E+11,1.19E+11,1.27E+11,1.34E+11,1.45E+11,1.67E+11,2.02E+11,1.95E+11
Italy,1.21E+12,1.10E+12,1.12E+12,1.23E+12,1.51E+12,1.74E+12,1.79E+12,1.87E+12,2.13E+12,2.31E+12,2.11E+12
Jamaica,8830909008,9008629729,9104515930,9718989517,9430236065,10173234921,11075778481,11903020644,12820055025,13676837630,12043372132
Jordan,8147494329,8457923945,8972965061,9580161951,10193023726,11407566660,12582876895,15056937190,17110610000,21971835256,23820013059
Japan,4.43E+12,4.73E+12,4.16E+12,3.98E+12,4.30E+12,4.66E+12,4.57E+12,4.36E+12,4.36E+12,4.85E+12,5.04E+12
Kazakhstan,16870817135,18291990619,22152689130,24636598581,30833692831,43151647003,57123671734,81003864916,1.05E+11,1.33E+11,1.15E+11
Kenya,12896010520,12705350153,12985991723,13147736954,14904504019,16095321631,18737895401,22504136042,27236739896,30465489796,30580367979
Kyrgyz Republic,1249062025,1369691955,1525113501,1605640633,1919012781,2211535312,2459876152,2834168889,3802566171,5139957785,4690029461
Cambodia,3517242477,3654031716,3979813388,4284028138,4658246907,5337833256,6293046162,7274424519,8639164917,10351829066,10401935532
Kiribati,70596128.71,67512714.52,63101272.37,72259045.96,90148518.06,102220914.8,106147384.5,104668674.7,123005089.6,135044455.6,127125253.5
St. Kitts and Nevis,305008729.1,416566954.4,455905601.7,478067954.1,461576906.5,497548516.5,536410666.4,629511777.7,689461859.1,740102893.7,688867558.1
"Korea, Rep.",4.45E+11,5.33E+11,5.05E+11,5.76E+11,6.44E+11,7.22E+11,8.45E+11,9.52E+11,1.05E+12,9.31E+11,8.34E+11
Kosovo,,1849196082,2535333632,2702427047,3355083117,3639935348,3743116980,3918176308,4743437689,5771473142,5634824257
Kuwait,30120888964,37718011469,34890773740,38138801497,47875837662,59440511982,80797945205,1.02E+11,1.15E+11,1.47E+11,1.06E+11
Latin America & Caribbean (developing only),1.86E+12,2.07E+12,2.02E+12,1.80E+12,1.85E+12,2.11E+12,2.56E+12,3.00E+12,3.54E+12,4.14E+12,3.88E+12
Lao PDR,1454430642,1731198022,1768619058,1758176653,2023324407,2366398120,2735550177,3452895836,4222945530,5443930125,5832882922
Lebanon,17391056437,17260364842,17649751244,19152238806,20082918740,21789054726,21860696517,22438474295,25056716418,30079601990,34650746269
Liberia,441800019.4,529064646.7,515000000,536000000,409000000,467000000,542000000,604028581.8,739026892.2,850040458.8,1155146230
Libya,30484399896,33896600871,28420321952,19842519685,24062500000,33384615385,44000000000,56484375000,71803278689,93167701863,62360446571
St. Lucia,692507395.2,764457723.4,708290496.3,723027643.1,781338352.9,858255380.4,908558306.8,1018069267,1132407670,1174876792,1173930131
Latin America & Caribbean (all income levels),2.04E+12,2.26E+12,2.21E+12,1.99E+12,2.04E+12,2.34E+12,2.83E+12,3.30E+12,3.88E+12,4.50E+12,4.23E+12
Least developed countries: UN classification,1.71E+11,1.78E+11,1.83E+11,1.98E+11,2.22E+11,2.59E+11,3.03E+11,3.52E+11,4.29E+11,5.30E+11,5.23E+11
Low income,1.63E+11,1.63E+11,1.67E+11,1.74E+11,1.92E+11,2.15E+11,2.39E+11,2.62E+11,3.07E+11,3.65E+11,3.81E+11
Liechtenstein,2664105901,2483890594,2491800559,2688617885,3070803431,3454374261,3658356378,3988775844,4602346923,4929414915,4826167676
Sri Lanka,15656342016,16330810304,15746224410,17102623876,18881765437,20662525941,24405791045,28267410543,32351184234,40715240469,42067974595
Lower middle income,1.17E+12,1.24E+12,1.25E+12,1.34E+12,1.54E+12,1.77E+12,2.04E+12,2.42E+12,2.99E+12,3.33E+12,3.41E+12
Low & middle income,5.24E+12,5.67E+12,5.69E+12,5.79E+12,6.49E+12,7.60E+12,8.97E+12,1.06E+13,1.30E+13,1.55E+13,1.55E+13
Lesotho,801540664.7,771200632.5,706430933,656802669.1,969181551,1234197704,1368405301,1428842600,1597484736,1630667593,1716836000
Lithuania,10971375000,11434200000,12159225000,14163949142,18608709857,22551543054,25962254181,30088510798,39103973051,47252926429,36846183172
Luxembourg,21185382485,20267551133,20196868009,22568793525,29144582393,34077095478,37643013481,42544669011,51320626630,54742739957,49420776475
Latvia,7288524473,7833068425,8313047744,9314784080,11186452601,13761569545,16041840426,19935046397,28765687042,33669367720,25875781250
"Macao SAR, China",5916957025,6101794939,6514271488,7008026415,7926373572,10258324479,11792570016,14568709574,18054684854,20731022857,21313263933
St. Martin (French part),,,,,,,,,,,
Morocco,39734023743,37020609825,37724674865,40416114690,49822651702,56948015336,59523857868,65637107776,75226318359,88882967742,90908402631
Monaco,2906009308,2647883820,2671401083,2905973022,3588988601,4110348444,4280072626,4663488363,5974371696,6919241412,5557579883
Moldova,1170785048,1288420223,1480656884,1661818168,1980901554,2598231467,2988172424,3408454198,4402495921,6054806101,5439422031
Madagascar,3717515283,3877673635,4529575233,4397254715,5474030228,4363934417,5038577519,5515236338,7342905883,9394330368,8589560142
Maldives,589239757,624337143.6,802442810.5,828240882.5,949867661.8,1075605492,992473987.3,1303375806,1541978559,1891633531,1984639641
Middle East & North Africa (all income levels),8.34E+11,9.39E+11,9.30E+11,9.30E+11,1.04E+12,1.22E+12,1.46E+12,1.73E+12,2.04E+12,2.58E+12,2.31E+12
Mexico,5.87E+11,6.92E+11,7.33E+11,7.50E+11,7.22E+11,7.75E+11,8.70E+11,9.66E+11,1.04E+12,1.10E+12,8.95E+11
Marshall Islands,107978893.1,110937729.4,115152142.7,124735071.9,126887585.5,131106365.5,137556822.8,143352031.2,149739017.4,152565763.1,151560778.4
Middle income,5.08E+12,5.51E+12,5.53E+12,5.61E+12,6.30E+12,7.39E+12,8.73E+12,1.03E+13,1.27E+13,1.51E+13,1.51E+13
"Macedonia, FYR",3673288166,3586883989,3436961385,3791306758,4756221629,5514253043,5985809060,6560546900,8159825620,9834038367,9313573965
Mali,2570429655,2422482318,2629739067,3342824260,4362439887,4874178417,5305317555,6122644015,7145394015,8737687353,8964480570
Malta,3907947937,3957418083,3917620728,4296164768,5119621569,5643525282,5980795756,6390123590,7513834700,8554293727,8099400961
Myanmar,,,,,,,,,,,
Middle East & North Africa (developing only),4.10E+11,4.34E+11,4.37E+11,4.29E+11,4.77E+11,5.51E+11,6.42E+11,7.64E+11,9.37E+11,1.19E+12,1.14E+12
Montenegro,,984279596.4,1159891560,1284504509,1707662608,2073255525,2257181943,2696020575,3668857104,4519731947,4157852772
Mongolia,1057408608,1136896162,1267997923,1396555772,1595297301,1992066759,2523359941,3414053251,4234894168,5623236708,4583834427
Northern Mariana Islands,,,,,,,,,,,
Mozambique,4536278939,4310090791,4075049537,4201332885,4666197195,5697991241,6578515331,7095910828,8035635713,9891003405,9674037707
Mauritania,1405662578,1293653473,1295536829,1324424463,1563072653,1833445283,2184444849,3040718541,3356758534,3790240831,3027020112
Mauritius,4291171396,4582562398,4536544699,4767303153,5609836354,6385691315,6283796155,6731536244,7792063567,9641077098,8834661043
Malawi,1775920039,1743506287,1716502069,2665158943,2424656666,2625127098,2754995877,3116789658,3647817219,4276769712,5030639934
Malaysia,79148158888,93789473684,92783947368,1.01E+11,1.10E+11,1.25E+11,1.44E+11,1.63E+11,1.94E+11,2.31E+11,2.02E+11
North America,1.03E+13,1.10E+13,1.13E+13,1.17E+13,1.24E+13,1.33E+13,1.42E+13,1.51E+13,1.59E+13,1.62E+13,1.58E+13
Namibia,3385555873,3908598123,3546795054,3361241961,4931293712,6606970843,7261301442,7978676470,8811608767,8829927125,8859203056
New Caledonia,3056999988,2682347064,,,,,,,,,
Niger,2018193598,1798374533,1945327546,2170481498,2731416281,3052898686,3405134555,3646727993,4291363547,5403364454,5397121962
Nigeria,35870792988,46385996027,44138014092,59116868250,67655840108,87845403978,1.12E+11,1.45E+11,1.66E+11,2.08E+11,1.69E+11
Nicaragua,4855717872,5107329010,5323146568,5224213019,5322437648,5795568203,6322582497,6786294613,7446636655,8254342300,8156131183
Netherlands,4.11E+11,3.85E+11,4.01E+11,4.38E+11,5.38E+11,6.10E+11,6.38E+11,6.78E+11,7.83E+11,8.71E+11,7.96E+11
High income: nonOECD,1.26E+12,1.44E+12,1.45E+12,1.51E+12,1.69E+12,2.04E+12,2.44E+12,2.88E+12,3.43E+12,4.14E+12,3.42E+12
Norway,1.59E+11,1.68E+11,1.71E+11,1.92E+11,2.25E+11,2.60E+11,3.04E+11,3.40E+11,3.93E+11,4.54E+11,3.79E+11
Nepal,5033642384,5494252208,6007061224,6050875807,6330476435,7273933993,8130258976,9043715356,10325618017,12545438605,12854834975
New Zealand,58141345789,51981385896,53273715302,65999637538,87418267497,1.03E+11,1.14E+11,1.10E+11,1.35E+11,1.31E+11,1.19E+11
High income: OECD,2.53E+13,2.58E+13,2.55E+13,2.66E+13,2.99E+13,3.32E+13,3.49E+13,3.67E+13,4.01E+13,4.23E+13,3.99E+13
OECD members,2.62E+13,2.68E+13,2.65E+13,2.77E+13,3.10E+13,3.45E+13,3.64E+13,3.84E+13,4.19E+13,4.43E+13,4.15E+13
Oman,15710148340,19867880550,19949284975,20049414986,21542262852,24673602280,30905071771,36803641389,41901170689,60566970579,46866060196
Other small states,26460935008,28478003540,28129354983,28898511036,37190604754,46429560063,53275589171,56667850906,66529274863,80052610005,69206412655
Pakistan,62973855719,73952374970,72309738921,72306820396,83244801093,97977766198,1.10E+11,1.37E+11,1.52E+11,1.70E+11,1.68E+11
Panama,11456300000,11620500000,11807500000,12272400000,12933200000,14179300000,15464700000,17137000000,19793700000,23001600000,24162900000
Peru,51509515206,53290390318,53935760985,56772338815,61346725170,69725009965,79385073422,92432757798,1.07E+11,1.30E+11,1.30E+11
Philippines,82995145601,81026294681,76261998623,81357657790,83908205720,91371236939,1.03E+11,1.22E+11,1.49E+11,1.74E+11,1.68E+11
Palau,113485000,158408810.4,167182520.7,168926089.5,173320434,190829015.3,206328827.4,210111650.9,211831321.6,212734858.1,197525348.2
Papua New Guinea,3477060138,3521348155,3081029666,2999542369,3536459120,3927114457,4901584516,5598700444,6329292929,8010370370,7914594203
Poland,1.68E+11,1.71E+11,1.90E+11,1.98E+11,2.17E+11,2.53E+11,3.04E+11,3.42E+11,4.25E+11,5.29E+11,4.31E+11
Puerto Rico,57841000000,61702000000,69208000000,71624000000,74827000000,79209000000,82809000000,86157000000,88405000000,92605700000,95369800000
"Korea, Dem. Rep.",,,,,,,,,,,
Portugal,1.26E+11,1.17E+11,1.20E+11,1.32E+11,1.62E+11,1.85E+11,1.92E+11,2.02E+11,2.32E+11,2.52E+11,2.34E+11
Paraguay,8392549939,8195993191,7662594857,6325151820,6588103956,8033877459,8734651354,10662013294,13837525590,18504760911,15954961410
Pacific island small states,3644082478,3403375328,3327544957,3508352861,4126718122,4768170858,5214349168,5480016481,6077172856,6596488988,5737213128
French Polynesia,3797016069,3447543138,,,,,,,,,
Qatar,12393131511,17759889598,17538461033,19363735706,23533790531,31675273812,43040108650,60496701553,79546975729,1.15E+11,97583513671
