thigmotperc,lean,locom,defec,groomfr,rear,groomdur,jump,thigmodperc,groombout,labels
55,64,14036,4,3,51,15.44,1,43.78740382,5.146666667,male
74,78,11765,3,8,52,45.6,0,71.89120272,5.7,male
73,41,10006,4,3,40,9.44,0,69.57825305,3.146666667,male
68,108,11055,7,3,44,13.68,4,64.67661692,4.56,male
73,92,11589,3,1,76,4.8,3,65.87281042,4.8,male
90,60,7593,6,9,44,73.52,0,82.69458712,8.168888889,male
88,44,5170,3,8,35,66.32,0,93.67504836,8.29,male
82,93,12060,0,6,40,40,0,76.0199005,6.666666667,male
76,82,10899,7,6,41,29.68,16,68.45582164,4.946666667,male
74,58,10690,3,7,60,47.92,0,68.48456501,6.845714286,male
69,37,9479,0,6,33,38.32,0,63.71980167,6.386666667,male
66,84,9492,9,3,27,39.2,0,60.61946903,13.06666667,male
71,56,9606,11,8,35,73.28,0,52.33187591,9.16,male
81,21,7205,5,8,17,62.08,0,75.19777932,7.76,male
78,47,9395,6,6,53,57.2,0,73.00691857,9.533333333,male
73,68,12572,8,1,45,3.76,0,62.48806872,3.76,male
66,88,14629,1,1,53,3.04,1,58.69847563,3.04,male
57,52,17376,0,3,80,13.84,0,50.75966851,4.613333333,male
54,68,13452,0,5,73,21.36,0,42.19446922,4.272,male
42,52,9124,2,5,17,53.52,0,38.645331,10.704,male
56,103,13269,5,2,52,22.24,1,46.80835029,11.12,male
70,83,10162,2,4,27,36.96,0,58.9746113,9.24,male
59,91,15542,6,9,67,42.48,1,48.15339081,4.72,male
61,88,10724,5,6,20,15.76,8,48.38679597,2.626666667,male
66,61,10747,9,10,5,47.76,0,53.5684377,4.776,male
81,77,11489,4,7,13,61.04,3,70.50221951,8.72,male
74,33,11176,4,3,46,10.72,0,63.96743021,3.573333333,male
54,63,12256,4,7,20,23.36,0,43.39915144,3.337142857,male
55,97,15289,6,4,21,14.88,4,46.09850219,3.72,male
53,94,19788,0,1,99,1.36,1,36.45138468,1.36,male
56,67,13448,3,8,116,42.24,0,46.42325996,5.28,male
66,69,12806,8,5,26,16.4,0,60.29985944,3.28,male
66,69,12806,8,5,26,16.4,0,60.29985944,3.28,male
51,43,12447,7,4,38,15.28,0,44.19538845,3.82,male
51,43,12447,7,4,38,15.28,0,44.19538845,3.82,male
50,66,12199,9,1,84,6.72,0,36.9292565,6.72,male
65,86,12074,12,5,85,22.96,3,47.63955607,4.592,male
56,55,12168,7,4,34,2.8,0,48.94806049,0.7,male
48,32,9022,11,3,49,6.56,0,42.85080913,2.186666667,male
54,57,12531,10,2,51,7.68,0,51.48032879,3.84,male
84,37,8243,11,8,15,68.96,0,74.26907679,8.62,male
71,114,11783,0,15,51,66,3,59.11906985,4.4,female
63,56,7046,6,18,41,185,0,55.47828555,10.27777778,female
84,49,6227,5,15,23,176,0,66.08318613,11.73333333,female
65,95,13713,7,16,18,51,8,68.08867498,3.1875,female
71,100,16638,4,5,10,14,10,62.96429859,2.8,female
48,58,12982,0,4,23,20,0,41.39577877,5,female
66,56,11073,0,11,13,28,0,63.117493,2.545454546,female
56,50,12753,3,12,74,78,0,51.60354426,6.5,female
65,59,5825,6,14,48,162,0,59.96566524,11.57142857,female
77,93,10933,6,9,47,39,0,62.6452026,4.333333333,female
58,88,14835,9,11,51,45,0,49.61914392,4.090909091,female
60,69,9137,4,19,31,984,4,53.05899092,51.78947368,female
85,75,7319,10,19,31,109,0,81.62317257,5.736842105,female
60,167,14161,3,7,46,41,11,53.66852623,5.857142857,female
23,26,10200,6,6,35,33,0,15.40196078,5.5,female
42,24,6342,1,2,0,13,0,46.12109745,6.5,female
60,10,4116,4,19,1,166,0,59.40233236,8.736842105,female
60,62,8817,7,16,60,45,0,54.61041171,2.8125,female
68,69,9698,6,12,98,61,0,60.84759744,5.083333333,female
82,97,7359,0,18,50,149.28,0,75.28196766,8.293333333,female
51,34,8379,8,17,41,79,0,41.73529061,4.647058824,female
75,45,7797,6,12,46,79,0,61.60061562,6.583333333,female
71,90,15932,4,10,32,34,0,62.99271906,3.4,female
65,73,15405,0,9,25,19,0,54.40441415,2.111111111,female
69,98,9790,10,28,13,123.36,0,52.99284985,4.405714286,female
77,93,7547,10,22,76,114.4,3,70.30608189,5.2,female
40,97,9590,12,30,36,136.68,0,43.11783107,4.556,female
68,103,9074,2,6,77,17.36,0,63.85276615,2.893333333,female
69,188,10142,6,3,48,12.8,0,62.45316506,4.266666667,female
72,76,8770,5,14,23,42.24,0,73.36374002,3.017142857,female
94,75,8104,6,11,34,608.48,0,88.10463968,55.31636364,female
64,67,10804,3,9,39,72.96,2,56.98815254,8.106666667,female
62,74,12255,5,6,29,41.76,0,57.00530396,6.96,female
51,40,10039,3,9,53,66.16,0,44.07809543,7.351111111,female
37,36,8755,3,16,46,82.96,0,29.61736151,5.185,female
58,49,8334,3,15,52,38.32,0,53.52771778,2.554666667,female
78,53,8570,3,8,45,16.72,0,74.23570595,2.09,female
